Code,Region,Low_SES_Percent,Internet_NoAccess,Housing_Unsuitable,Unemployment_Rate,Education_Level_Low,English_Proficiency_Low,Aboriginal_Percent,Senior_65Plus_Percent,Elderly_70_PermInstitution,Year
PHA010324,Ulladulla,0.0,20.65449762,1.9450800915331807,6.61,14.3,8.862876254,4.053015751056473,29.55140067640865,3.4132581100141044,2017-2018
PHA010325,Ulladulla Region,100.0,17.95252226,3.1312127236580514,6.66,15.5,12.7388535,2.7496099843993758,26.187245590230663,0.0,2017-2018
PHA010326,Bowral/ Robertson - Fitzroy Falls,0.0,11.63537153,1.721664275466284,3.83,30.7,7.096069869,1.2422729434141702,31.467204364844026,6.246996636232581,2017-2018
PHA010327,Hill Top - Colo Vale/ Southern Highlands,47.78368091,13.03370787,3.1996493534955075,4.07,20.3,9.46969697,2.8166834326394796,20.353296660726738,3.9319872476089266,2017-2018
PHA010328,Mittagong,100.0,15.77981651,2.936724190130185,3.83,22.6,10.40650407,2.946273830155979,23.365800865800864,8.201892744479496,2017-2018
PHA010329,Moss Vale - Berrima,100.0,16.3310962,2.8696365127083903,3.73,19.7,18.24611033,3.02757793764988,21.17412935323383,7.352941176470589,2017-2018
PHA020000,Brunswick West/ Pascoe Vale South,0.0,14.32076734,5.62396006655574,6.28,43.8,15.25859735,0.5522650872418761,12.572410211337942,7.70859805167302,2017-2018
PHA020001,Brunswick/ Brunswick East,0.0,10.70693661,5.9206591800119615,5.86,55.1,17.34075325,0.7253965415953616,9.881971765794955,5.4822335025380715,2017-2018
PHA020002,Coburg,100.0,15.27939773,7.047500776156474,7.14,42.4,18.83878938,0.507157758434645,12.887174124688999,3.43065693430657,2017-2018
PHA020003,Alphington - Fairfield/ Northcote,0.0,12.02611295,4.50662277607963,4.89,54.5,18.65186789,0.7306598248647443,11.905228118269044,5.972906403940887,2017-2018
PHA020004,Thornbury,0.0,15.32736044,5.335723149041776,5.52,47.1,19.90950226,0.8734293594851363,12.590923061161766,11.869747899159663,2017-2018
PHA020005,Ascot Vale,100.0,14.08097456,4.772041866240908,6.36,44.6,19.2783245,0.46460605278440986,10.423182485479032,2.574750830564784,2017-2018
PHA020006,Essendon - Aberfeldie/ Moonee Ponds,0.0,12.82795075,4.170918367346939,5.11,43.7,11.99724653,0.43306729548340284,13.654116899041737,7.316534040671972,2017-2018
PHA020007,Flemington,0.0,15.94860166,10.250682551501614,10.16,46.7,22.27793696,0.6614495994037638,9.30407053085725,9.95850622406639,2017-2018
PHA020008,Carlton,0.0,10.41491281,12.53575425942047,19.73,56.0,11.94236631,0.5533050093864244,6.143377885783718,16.90294438386041,2017-2018
PHA020009,Docklands/ Southbank/ West Melbourne,0.0,5.154327975,11.657003356728715,7.83,53.9,13.00125751,0.31441646172524357,5.651355770120616,0.0,2017-2018
PHA020010,East Melbourne/ South Yarra - West,0.0,6.612740142,3.967761934283943,4.33,58.3,8.501118568,0.6203890006706908,18.27300844269832,15.681233933161954,2017-2018
PHA020011,Flemington Racecourse/ Kensington,0.0,10.93399192,4.8260381593714925,4.87,54.4,18.52112676,0.5163066861715859,8.36701350073093,6.990014265335236,2017-2018
PHA020012,Melbourne,0.0,7.749850389,20.214008978537606,15.15,55.0,15.96645432,0.2115427689704089,3.3515781351722804,0.0,2017-2018
PHA020013,North Melbourne,100.0,10.23106388,10.751488095238097,10.56,53.7,15.13589503,0.6966434452184928,6.279996377795889,0.0,2017-2018
PHA020014,Parkville,0.0,5.340793489,5.84315735520246,12.57,63.6,10.64311594,0.8863003291972652,12.0790073436313,21.966794380587483,2017-2018
PHA020015,Albert Park,0.0,8.682218446,3.6682865652923655,5.06,54.2,12.80247608,0.22437841115827772,15.918984280532044,1.2658227848101267,2017-2018
PHA020016,Elwood,0.0,8.532473244,2.8614008941877795,4.56,50.5,9.770642202,0.44561103650347944,8.19552971106669,0.0,2017-2018
PHA020017,Port Melbourne/ Port Melbourne Industrial,0.0,10.84750607,2.6933602189255366,4.08,44.9,13.0406714,0.5201783468617812,13.916192446973616,1.1242270938729624,2017-2018
PHA020018,South Melbourne,0.0,12.04889406,4.042386185243328,5.9,50.9,16.48154783,0.6804354787063721,14.210568908311078,15.2,2017-2018
PHA020019,St Kilda/ St Kilda East,0.0,10.70463521,5.236736419361657,5.46,46.1,11.42109852,0.6028965246073527,9.253594371367392,10.398445092322643,2017-2018
PHA020020,Armadale/ Toorak,0.0,8.550991655,3.04357346179111,4.73,55.4,10.3100047,0.342422320862397,21.002949852507374,2.761290322580645,2017-2018
PHA020021,Prahran - Windsor/ South Yarra - East,0.0,9.900042535,4.45859872611465,5.14,53.2,16.28806666,0.47449856733524354,10.989833893074339,4.738015607580825,2017-2018
PHA020022,Abbotsford/ Yarra - North,0.0,7.118055556,5.363096100884186,4.82,56.9,16.49791543,0.6203744013931214,10.114843370895562,9.37031484257871,2017-2018
PHA020023,Carlton North - Princes Hill/ Fitzroy North,0.0,9.580052493,4.934687953555878,4.78,61.1,16.08659907,0.45522152611889843,13.008861499707617,0.0,2017-2018
PHA020024,Collingwood/ Fitzroy,0.0,11.5020122,7.452609711763178,7.3,48.8,25.54304103,0.8929442763735727,8.778144409937887,4.528012279355334,2017-2018
PHA020025,Richmond (Vic.),0.0,11.13162551,5.572683829196856,4.83,50.6,27.50697304,0.4038426237532889,10.02496346809547,1.9975540154912355,2017-2018
PHA020026,Ashburton (Vic.),0.0,9.833526907,3.7663335895465027,5.44,55.1,17.02508961,0.3578479763079961,14.092734574662286,8.25242718446602,2017-2018
PHA020027,Balwyn/ Balwyn North,0.0,9.64876203,3.3792938551048057,6.42,52.7,17.60381212,0.18888218473727011,17.665615141955836,2.8477334366524603,2017-2018
PHA020028,Camberwell/ Surrey Hills (West) - Canterbury,0.0,6.965641387,2.751233045622688,5.43,59.7,14.11454589,0.21371819370411346,17.938470818881015,16.150611620795107,2017-2018
PHA020029,Glen Iris - East,0.0,6.371141421,1.9542253521126762,4.98,59.7,11.52416357,0.18042137120242113,13.804537521815007,0.0,2017-2018
PHA020030,Hawthorn/ Hawthorn East,0.0,7.121874796,5.852384062704115,6.22,60.9,12.18798956,0.23564064801178203,11.847080924150381,2.8770949720670393,2017-2018
PHA020031,Kew/ Kew East,0.0,7.690894055,2.7463947827684394,5.22,56.6,14.8139019,0.22782457507719056,16.189384109357555,9.792797237296497,2017-2018
